country,year,sex,age,suicides_no,population,suicides/100k pop
Chile,2014,female,15-24 years,58,1357865,4.27
Chile,2014,female,55-74 years,52,1494867,3.48
Chile,2014,female,75+ years,8,455627,1.76
Chile,2014,male,5-14 years,12,1280751,0.94
Chile,2014,female,5-14 years,9,1233817,0.73
Chile,2015,male,75+ years,117,282308,41.44
Chile,2015,male,55-74 years,301,1394272,21.59
Chile,2015,male,35-54 years,513,2426719,21.14
Chile,2015,male,25-34 years,296,1406921,21.04
Chile,2015,male,15-24 years,224,1400822,15.99
Chile,2015,female,35-54 years,136,2431495,5.59
Chile,2015,female,55-74 years,78,1544550,5.05
Chile,2015,female,25-34 years,66,1359598,4.85
Chile,2015,female,15-24 years,64,1343941,4.76
Chile,2015,female,75+ years,21,470618,4.46
Chile,2015,female,5-14 years,13,1228869,1.06
Chile,2015,male,5-14 years,9,1275612,0.71
Colombia,2010,male,75+ years,65,418296,15.54
Colombia,2010,male,25-34 years,436,3779392,11.54
Colombia,2010,male,15-24 years,480,4274849,11.23
Colombia,2010,male,55-74 years,225,2337537,9.63
Colombia,2010,male,35-54 years,463,5646115,8.2
Colombia,2010,female,15-24 years,187,4154664,4.5
Colombia,2010,female,25-34 years,78,3841659,2.03
Colombia,2010,female,35-54 years,72,6052417,1.19
Colombia,2010,male,5-14 years,41,4178908,0.98
Colombia,2010,female,5-14 years,39,4010759,0.97
Colombia,2010,female,75+ years,5,594329,0.84
Colombia,2010,female,55-74 years,16,2700178,0.59
Colombia,2011,male,75+ years,60,436385,13.75
Colombia,2011,male,15-24 years,450,4268385,10.54
Colombia,2011,male,25-34 years,382,3840952,9.95
Colombia,2011,male,55-74 years,231,2445112,9.45
Colombia,2011,male,35-54 years,498,5745871,8.67
Colombia,2011,female,15-24 years,159,4147875,3.83
Colombia,2011,female,25-34 years,69,3897562,1.77
Colombia,2011,female,35-54 years,87,6156452,1.41
Colombia,2011,female,55-74 years,29,2822325,1.03
Colombia,2011,male,5-14 years,41,4163139,0.98
Colombia,2011,female,5-14 years,34,3995726,0.85
Colombia,2011,female,75+ years,4,618521,0.65
Colombia,2012,male,75+ years,69,453582,15.21
Colombia,2012,male,15-24 years,486,4254495,11.42
Colombia,2012,male,25-34 years,412,3891260,10.59
Colombia,2012,male,55-74 years,266,2556199,10.41
Colombia,2012,male,35-54 years,455,5846650,7.78
Colombia,2012,female,15-24 years,151,4133625,3.65
Colombia,2012,female,25-34 years,73,3942505,1.85
Colombia,2012,female,55-74 years,41,2948489,1.39
Colombia,2012,female,35-54 years,83,6261133,1.33
Colombia,2012,male,5-14 years,44,4146398,1.06
Colombia,2012,female,75+ years,6,642251,0.93
Colombia,2012,female,5-14 years,33,3979277,0.83
Colombia,2013,male,75+ years,69,470105,14.68
Colombia,2013,male,15-24 years,450,4235904,10.62
Colombia,2013,male,55-74 years,260,2672132,9.73
Colombia,2013,male,25-34 years,381,3931611,9.69
Colombia,2013,male,35-54 years,462,5947520,7.77
Colombia,2013,female,15-24 years,141,4114036,3.43
Colombia,2013,female,25-34 years,81,3977885,2.04
Colombia,2013,female,35-54 years,101,6365459,1.59
Colombia,2013,female,55-74 years,41,3079952,1.33
Colombia,2013,male,5-14 years,41,4126269,0.99
Colombia,2013,female,5-14 years,36,3959475,0.91
Colombia,2013,female,75+ years,5,665950,0.75
Colombia,2014,male,75+ years,83,486197,17.07
Colombia,2014,male,15-24 years,480,4216293,11.38
Colombia,2014,male,55-74 years,283,2795271,10.12
Colombia,2014,male,25-34 years,395,3965410,9.96
Colombia,2014,male,35-54 years,477,6046987,7.89
Colombia,2014,female,15-24 years,132,4092325,3.23
Colombia,2014,female,25-34 years,82,4007103,2.05
Colombia,2014,female,55-74 years,43,3219142,1.34
Colombia,2014,female,35-54 years,82,6467724,1.27
Colombia,2014,male,5-14 years,37,4100740,0.9
Colombia,2014,female,75+ years,5,690028,0.72
Colombia,2014,female,5-14 years,27,3934580,0.69
Colombia,2015,male,75+ years,82,502228,16.33
Colombia,2015,male,15-24 years,473,4197599,11.27
Colombia,2015,male,55-74 years,317,2926656,10.83
Colombia,2015,male,25-34 years,379,3994717,9.49
Colombia,2015,male,35-54 years,560,6143478,9.12
Colombia,2015,female,15-24 years,176,4070390,4.32
Colombia,2015,female,25-34 years,111,4031995,2.75
Colombia,2015,female,35-54 years,96,6566323,1.46
Colombia,2015,female,75+ years,10,715044,1.4
Colombia,2015,female,55-74 years,45,3367078,1.34
Colombia,2015,female,5-14 years,44,3904896,1.13
Colombia,2015,male,5-14 years,39,4070023,0.96
Costa Rica,2010,male,25-34 years,74,371498,19.92
Costa Rica,2010,male,35-54 years,106,581171,18.24
Costa Rica,2010,male,55-74 years,36,274921,13.09
Costa Rica,2010,male,75+ years,7,57885,12.09
Costa Rica,2010,male,15-24 years,40,420069,9.52
Costa Rica,2010,female,25-34 years,12,364253,3.29
Costa Rica,2010,female,35-54 years,16,592166,2.7
Costa Rica,2010,female,15-24 years,10,404425,2.47
Costa Rica,2010,female,55-74 years,5,287471,1.74
Costa Rica,2010,male,5-14 years,5,386778,1.29
Costa Rica,2010,female,5-14 years,0,369792,0.0
Costa Rica,2010,female,75+ years,0,74234,0.0
Costa Rica,2011,male,25-34 years,72,379928,18.95
Costa Rica,2011,male,75+ years,9,60741,14.82
Costa Rica,2011,male,35-54 years,85,589634,14.42
Costa Rica,2011,male,55-74 years,40,285540,14.01
Costa Rica,2011,male,15-24 years,52,419970,12.38
Costa Rica,2011,female,15-24 years,20,404197,4.95
Costa Rica,2011,female,55-74 years,8,299105,2.67
Costa Rica,2011,female,35-54 years,14,600898,2.33
Costa Rica,2011,female,25-34 years,8,371907,2.15
Costa Rica,2011,male,5-14 years,5,381413,1.31
Costa Rica,2011,female,75+ years,1,77576,1.29
Costa Rica,2011,female,5-14 years,2,364605,0.55
Costa Rica,2012,male,35-54 years,94,598555,15.7
Costa Rica,2012,male,25-34 years,55,387974,14.18
Costa Rica,2012,male,15-24 years,58,419511,13.83
Costa Rica,2012,male,55-74 years,40,297364,13.45
Costa Rica,2012,male,75+ years,8,63663,12.57
Costa Rica,2012,female,35-54 years,16,609857,2.62
Costa Rica,2012,female,15-24 years,10,403604,2.48
Costa Rica,2012,female,55-74 years,6,311981,1.92
Costa Rica,2012,female,25-34 years,7,379310,1.85
Costa Rica,2012,male,5-14 years,5,377001,1.33
Costa Rica,2012,female,5-14 years,3,360319,0.83
Costa Rica,2012,female,75+ years,0,81071,0.0
Costa Rica,2013,male,25-34 years,75,395371,18.97
Costa Rica,2013,male,75+ years,12,66659,18.0
Costa Rica,2013,male,55-74 years,49,310249,15.79
Costa Rica,2013,male,35-54 years,82,607709,13.49
Costa Rica,2013,male,15-24 years,48,418437,11.47
Costa Rica,2013,female,25-34 years,11,386168,2.85
Costa Rica,2013,female,35-54 years,13,618837,2.1
Costa Rica,2013,female,15-24 years,8,402392,1.99
Costa Rica,2013,male,5-14 years,6,373658,1.61
Costa Rica,2013,female,55-74 years,5,325956,1.53
Costa Rica,2013,female,75+ years,1,84743,1.18
Costa Rica,2013,female,5-14 years,1,357050,0.28
Costa Rica,2014,male,55-74 years,46,323941,14.2
Costa Rica,2014,male,35-54 years,76,616724,12.32
Costa Rica,2014,male,25-34 years,49,401836,12.19
Costa Rica,2014,male,15-24 years,43,416344,10.33
Costa Rica,2014,male,75+ years,6,69706,8.61
Costa Rica,2014,female,25-34 years,12,392153,3.06
Costa Rica,2014,female,15-24 years,12,400170,3.0
Costa Rica,2014,female,75+ years,2,88574,2.26
Costa Rica,2014,female,35-54 years,11,627502,1.75
Costa Rica,2014,female,55-74 years,5,340748,1.47
Costa Rica,2014,female,5-14 years,3,354701,0.85
Costa Rica,2014,male,5-14 years,3,371275,0.81
Croatia,2010,male,75+ years,99,114205,86.69
Croatia,2010,male,55-74 years,215,461893,46.55
Croatia,2010,male,35-54 years,186,621977,29.9
Croatia,2010,female,75+ years,46,221668,20.75
Croatia,2010,male,15-24 years,40,272848,14.66
Croatia,2010,male,25-34 years,44,316471,13.9
Croatia,2010,female,55-74 years,75,541827,13.84
Croatia,2010,female,35-54 years,50,627682,7.97
Croatia,2010,female,15-24 years,13,261670,4.97
Croatia,2010,female,25-34 years,7,306249,2.29
Croatia,2010,female,5-14 years,1,222940,0.45
Croatia,2010,male,5-14 years,0,234533,0.0
Croatia,2011,male,75+ years,95,118029,80.49
Croatia,2011,male,55-74 years,188,467142,40.24
Croatia,2011,male,35-54 years,148,616577,24.0
Croatia,2011,male,25-34 years,63,314331,20.04
Croatia,2011,female,75+ years,43,225925,19.03
Croatia,2011,female,55-74 years,68,545430,12.47
Croatia,2011,male,15-24 years,24,269755,8.9
Croatia,2011,female,35-54 years,52,621895,8.36
Croatia,2011,female,25-34 years,11,304202,3.62
Croatia,2011,female,15-24 years,8,258495,3.09
Croatia,2011,male,5-14 years,2,229413,0.87
Croatia,2011,female,5-14 years,0,217835,0.0
Croatia,2012,male,75+ years,99,122607,80.75
Croatia,2012,male,55-74 years,207,465550,44.46
Croatia,2012,male,35-54 years,201,591018,34.01
Croatia,2012,female,75+ years,46,232222,19.81
Croatia,2012,male,25-34 years,51,294314,17.33
Croatia,2012,male,15-24 years,35,256849,13.63
Croatia,2012,female,55-74 years,73,541956,13.47
Croatia,2012,female,35-54 years,42,594104,7.07
Croatia,2012,female,25-34 years,13,283419,4.59
Croatia,2012,female,15-24 years,5,245431,2.04
Croatia,2012,male,5-14 years,3,219008,1.37
Croatia,2012,female,5-14 years,1,207818,0.48
Croatia,2013,male,75+ years,85,126153,67.38
Croatia,2013,male,55-74 years,174,469173,37.09
Croatia,2013,male,35-54 years,186,587482,31.66
Croatia,2013,male,25-34 years,59,291832,20.22
Croatia,2013,male,15-24 years,41,254643,16.1
Croatia,2013,female,75+ years,35,237107,14.76
Croatia,2013,female,55-74 years,48,544041,8.82
Croatia,2013,female,35-54 years,48,589432,8.14
Croatia,2013,female,25-34 years,9,281138,3.2
Croatia,2013,female,15-24 years,6,243263,2.47
Croatia,2013,male,5-14 years,1,215702,0.46
Croatia,2013,female,5-14 years,0,204491,0.0
Croatia,2014,male,75+ years,97,129205,75.07
Croatia,2014,male,55-74 years,193,473836,40.73
Croatia,2014,male,35-54 years,167,582938,28.65
Croatia,2014,female,75+ years,42,240853,17.44
Croatia,2014,male,15-24 years,37,251460,14.71
Croatia,2014,male,25-34 years,42,287190,14.62
Croatia,2014,female,55-74 years,71,547211,12.97
Croatia,2014,female,35-54 years,49,583896,8.39
Croatia,2014,female,15-24 years,12,240071,5.0
Croatia,2014,female,25-34 years,11,277195,3.97
Croatia,2014,female,5-14 years,1,202723,0.49
Croatia,2014,male,5-14 years,0,213874,0.0
Croatia,2015,male,75+ years,104,131896,78.85
Croatia,2015,male,55-74 years,207,476580,43.43
Croatia,2015,male,35-54 years,155,575410,26.94
Croatia,2015,female,75+ years,56,243369,23.01
Croatia,2015,male,25-34 years,41,280212,14.63
Croatia,2015,male,15-24 years,34,247562,13.73
Croatia,2015,female,55-74 years,75,548940,13.66
Croatia,2015,female,35-54 years,51,576262,8.85
Croatia,2015,female,25-34 years,7,271005,2.58
Croatia,2015,female,15-24 years,6,236301,2.54
Croatia,2015,female,5-14 years,2,201507,0.99
Croatia,2015,male,5-14 years,1,212625,0.47
Croatia,2016,male,75+ years,104,134519,77.31
Croatia,2016,male,55-74 years,187,480263,38.94
Croatia,2016,male,35-54 years,146,571003,25.57
Croatia,2016,male,25-34 years,48,274466,17.49
Croatia,2016,female,75+ years,40,246002,16.26
Croatia,2016,female,55-74 years,69,551758,12.51
Croatia,2016,male,15-24 years,30,242287,12.38
Croatia,2016,female,35-54 years,47,570380,8.24
Croatia,2016,female,15-24 years,6,231038,2.6
Croatia,2016,female,25-34 years,6,265327,2.26
Cuba,2010,male,75+ years,206,263320,78.23
Cuba,2010,male,55-74 years,374,972763,38.45
Cuba,2010,male,35-54 years,476,1899890,25.05
Cuba,2010,male,25-34 years,102,710089,14.36
Cuba,2010,female,55-74 years,142,1005594,14.12
Cuba,2010,female,75+ years,40,340480,11.75
Cuba,2010,male,15-24 years,67,817305,8.2
Cuba,2010,female,35-54 years,105,1893737,5.54
Cuba,2010,female,25-34 years,17,688810,2.47
Cuba,2010,female,15-24 years,18,771457,2.33
Cuba,2010,female,5-14 years,7,660046,1.06
Cuba,2010,male,5-14 years,4,702357,0.57
Cuba,2011,male,75+ years,236,273331,86.34
Cuba,2011,male,55-74 years,345,987980,34.92
Cuba,2011,male,35-54 years,441,1909690,23.09
Cuba,2011,male,25-34 years,113,707701,15.97
Cuba,2011,female,75+ years,50,352169,14.2
Cuba,2011,female,55-74 years,123,1022839,12.03
Cuba,2011,male,15-24 years,75,808772,9.27
Cuba,2011,female,35-54 years,106,1903248,5.57
Cuba,2011,female,25-34 years,20,686162,2.91
Cuba,2011,female,15-24 years,13,761258,1.71
Cuba,2011,male,5-14 years,4,687609,0.58
Cuba,2011,female,5-14 years,3,647275,0.46
Cuba,2012,male,75+ years,245,283396,86.45
Cuba,2012,male,55-74 years,357,1000596,35.68
Cuba,2012,male,35-54 years,412,1913864,21.53
Cuba,2012,male,25-34 years,108,718645,15.03
Cuba,2012,female,75+ years,52,364108,14.28
Cuba,2012,female,55-74 years,107,1037368,10.31
Cuba,2012,male,15-24 years,71,795384,8.93
Cuba,2012,female,35-54 years,94,1906959,4.93
Cuba,2012,female,15-24 years,25,746677,3.35
Cuba,2012,female,25-34 years,16,696377,2.3
Cuba,2012,male,5-14 years,6,672968,0.89
Cuba,2012,female,5-14 years,2,634193,0.32
Cuba,2013,male,75+ years,216,293384,73.62
Cuba,2013,male,55-74 years,401,1014211,39.54
Cuba,2013,male,35-54 years,436,1911139,22.81
Cuba,2013,female,75+ years,49,376280,13.02
Cuba,2013,male,25-34 years,96,738010,13.01
Cuba,2013,female,55-74 years,111,1052791,10.54
Cuba,2013,male,15-24 years,47,778739,6.04
Cuba,2013,female,35-54 years,94,1903641,4.94
Cuba,2013,female,25-34 years,20,714544,2.8
Cuba,2013,female,15-24 years,20,729372,2.74
Cuba,2013,male,5-14 years,5,659106,0.76
Cuba,2013,female,5-14 years,4,621473,0.64
Cuba,2014,male,75+ years,221,303110,72.91
Cuba,2014,male,55-74 years,348,1034381,33.64
Cuba,2014,male,35-54 years,409,1899900,21.53
Cuba,2014,female,75+ years,51,388520,13.13
Cuba,2014,male,25-34 years,97,758006,12.8
Cuba,2014,female,55-74 years,116,1074729,10.79
Cuba,2014,male,15-24 years,62,761440,8.14
Cuba,2014,female,35-54 years,107,1891607,5.66
Cuba,2014,female,15-24 years,19,711945,2.67
Cuba,2014,female,25-34 years,12,732841,1.64
Cuba,2014,male,5-14 years,9,646878,1.39
Cuba,2014,female,5-14 years,2,610054,0.33
Cuba,2015,male,75+ years,257,312547,82.23
Cuba,2015,male,55-74 years,394,1064263,37.02
Cuba,2015,male,35-54 years,418,1879569,22.24
Cuba,2015,female,75+ years,56,400826,13.97
Cuba,2015,male,25-34 years,82,773518,10.6
Cuba,2015,female,55-74 years,104,1106391,9.4
Cuba,2015,male,15-24 years,56,745157,7.52
Cuba,2015,female,35-54 years,102,1870168,5.45
Cuba,2015,female,25-34 years,21,746139,2.81
Cuba,2015,female,15-24 years,17,696005,2.44
Cuba,2015,male,5-14 years,4,636828,0.63
Cuba,2015,female,5-14 years,0,600657,0.0
Cyprus,2010,male,75+ years,3,19667,15.25
Cyprus,2010,male,25-34 years,7,65092,10.75
Cyprus,2010,male,55-74 years,7,75567,9.26
Cyprus,2010,male,35-54 years,9,107241,8.39
Cyprus,2010,male,15-24 years,4,67097,5.96
Cyprus,2010,female,15-24 years,3,64577,4.65
Cyprus,2010,female,35-54 years,4,119200,3.36
Cyprus,2010,female,55-74 years,1,79168,1.26
Cyprus,2010,female,25-34 years,0,69866,0.0
Cyprus,2010,female,5-14 years,0,45354,0.0
Cyprus,2010,female,75+ years,0,26570,0.0
Cyprus,2010,male,5-14 years,0,47682,0.0
Cyprus,2011,male,35-54 years,12,108755,11.03
Cyprus,2011,male,55-74 years,8,77047,10.38
Cyprus,2011,male,75+ years,2,19308,10.36
Cyprus,2011,male,15-24 years,3,67311,4.46
Cyprus,2011,female,75+ years,1,25937,3.86
Cyprus,2011,female,35-54 years,3,122543,2.45
Cyprus,2011,female,55-74 years,1,80672,1.24
Cyprus,2011,female,15-24 years,0,64690,0.0
Cyprus,2011,female,25-34 years,0,73838,0.0
Cyprus,2011,female,5-14 years,0,44757,0.0
Cyprus,2011,male,25-34 years,0,68773,0.0
Cyprus,2011,male,5-14 years,0,47189,0.0
Cyprus,2012,male,25-34 years,9,70596,12.75
Cyprus,2012,male,35-54 years,14,110616,12.66
Cyprus,2012,male,15-24 years,6,66014,9.09
Cyprus,2012,male,55-74 years,5,79804,6.27
Cyprus,2012,female,25-34 years,1,75365,1.33
Cyprus,2012,female,35-54 years,1,125423,0.8
Cyprus,2012,female,15-24 years,0,63355,0.0
Cyprus,2012,female,5-14 years,0,44613,0.0
Cyprus,2012,female,55-74 years,0,83946,0.0
Cyprus,2012,female,75+ years,0,27031,0.0
Cyprus,2012,male,5-14 years,0,47222,0.0
Cyprus,2012,male,75+ years,0,20320,0.0
Cyprus,2013,male,75+ years,3,21349,14.05
Cyprus,2013,male,15-24 years,8,62893,12.72
Cyprus,2013,male,55-74 years,10,81903,12.21
Cyprus,2013,male,25-34 years,8,70521,11.34
Cyprus,2013,male,35-54 years,11,110593,9.95
Cyprus,2013,female,35-54 years,4,125846,3.18
Cyprus,2013,female,55-74 years,1,86452,1.16
Cyprus,2013,female,15-24 years,0,59969,0.0
Cyprus,2013,female,25-34 years,0,73849,0.0
Cyprus,2013,female,5-14 years,0,44407,0.0
Cyprus,2013,female,75+ years,0,28320,0.0
Cyprus,2013,male,5-14 years,0,46914,0.0
Cyprus,2014,male,35-54 years,13,107823,12.06
Cyprus,2014,male,25-34 years,8,68555,11.67
Cyprus,2014,male,55-74 years,7,82766,8.46
Cyprus,2014,female,55-74 years,5,87152,5.74
Cyprus,2014,female,25-34 years,4,72330,5.53
Cyprus,2014,female,15-24 years,3,59114,5.07
Cyprus,2014,male,75+ years,1,22372,4.47
Cyprus,2014,male,15-24 years,2,60975,3.28
Cyprus,2014,female,35-54 years,1,122485,0.82
Cyprus,2014,female,5-14 years,0,44760,0.0
Cyprus,2014,female,75+ years,0,29382,0.0
Cyprus,2014,male,5-14 years,0,47104,0.0
Cyprus,2015,male,55-74 years,9,83627,10.76
Cyprus,2015,male,25-34 years,7,67482,10.37
Cyprus,2015,male,35-54 years,10,106371,9.4
Cyprus,2015,male,15-24 years,5,58308,8.58
Cyprus,2015,female,55-74 years,3,87902,3.41
Cyprus,2015,female,25-34 years,2,70765,2.83
Cyprus,2015,female,35-54 years,3,118975,2.52
Cyprus,2015,female,15-24 years,1,58123,1.72
Cyprus,2015,female,5-14 years,0,44693,0.0
Cyprus,2015,female,75+ years,0,29924,0.0
Cyprus,2015,male,5-14 years,0,46906,0.0
Cyprus,2015,male,75+ years,0,22961,0.0
Cyprus,2016,male,35-54 years,15,106925,14.03
Cyprus,2016,male,15-24 years,5,58051,8.61
Cyprus,2016,male,75+ years,2,24004,8.33
Cyprus,2016,male,55-74 years,7,85486,8.19
Cyprus,2016,male,25-34 years,2,68167,2.93
Cyprus,2016,female,35-54 years,3,117819,2.55
Cyprus,2016,female,25-34 years,1,71307,1.4
Cyprus,2016,female,55-74 years,1,90294,1.11
Cyprus,2016,female,15-24 years,0,58057,0.0
Cyprus,2016,female,75+ years,0,31234,0.0
Czech Republic,2010,male,75+ years,115,243211,47.28
Czech Republic,2010,male,55-74 years,394,1121705,35.13
Czech Republic,2010,male,35-54 years,473,1499075,31.55
Czech Republic,2010,male,25-34 years,168,858416,19.57
Czech Republic,2010,male,15-24 years,94,665538,14.12
Czech Republic,2010,female,75+ years,40,453417,8.82
Czech Republic,2010,female,55-74 years,84,1288749,6.52
Czech Republic,2010,female,35-54 years,87,1445352,6.02
Czech Republic,2010,female,25-34 years,26,805752,3.23
Czech Republic,2010,female,15-24 years,20,629937,3.17
Czech Republic,2010,male,5-14 years,1,479853,0.21
Czech Republic,2010,female,5-14 years,0,454268,0.0
Czech Republic,2011,male,75+ years,118,246004,47.97
Czech Republic,2011,male,55-74 years,424,1152114,36.8
Czech Republic,2011,male,35-54 years,500,1517715,32.94
Czech Republic,2011,male,25-34 years,173,818695,21.13
Czech Republic,2011,male,15-24 years,120,632356,18.98
Czech Republic,2011,female,75+ years,43,454906,9.45
Czech Republic,2011,female,35-54 years,86,1456523,5.9
Czech Republic,2011,female,55-74 years,77,1312571,5.87
Czech Republic,2011,female,25-34 years,28,771896,3.63
Czech Republic,2011,female,15-24 years,19,602033,3.16
Czech Republic,2011,male,5-14 years,2,483911,0.41
Czech Republic,2011,female,5-14 years,0,457594,0.0
Czech Republic,2012,male,75+ years,146,248952,58.65
Czech Republic,2012,male,55-74 years,430,1173069,36.66
Czech Republic,2012,male,35-54 years,538,1537251,35.0
Czech Republic,2012,male,25-34 years,179,796162,22.48
Czech Republic,2012,male,15-24 years,84,609704,13.78
Czech Republic,2012,female,75+ years,45,456859,9.85
Czech Republic,2012,female,55-74 years,106,1333013,7.95
Czech Republic,2012,female,35-54 years,94,1471892,6.39
Czech Republic,2012,female,25-34 years,22,750032,2.93
Czech Republic,2012,female,15-24 years,10,581629,1.72
Czech Republic,2012,male,5-14 years,3,495721,0.61
Czech Republic,2012,female,5-14 years,1,468843,0.21
Czech Republic,2013,male,75+ years,129,252532,51.08
Czech Republic,2013,male,55-74 years,399,1188011,33.59
Czech Republic,2013,male,35-54 years,485,1556338,31.16
Czech Republic,2013,male,25-34 years,168,773130,21.73
Czech Republic,2013,male,15-24 years,108,586871,18.4
Czech Republic,2013,female,75+ years,36,459282,7.84
Czech Republic,2013,female,35-54 years,108,1488299,7.26
Czech Republic,2013,female,55-74 years,92,1347862,6.83
Czech Republic,2013,female,25-34 years,30,729365,4.11
Czech Republic,2013,female,15-24 years,15,560391,2.68
Czech Republic,2013,male,5-14 years,5,510895,0.98
Czech Republic,2013,female,5-14 years,2,483804,0.41
Czech Republic,2014,male,75+ years,123,257383,47.79
Czech Republic,2014,male,55-74 years,364,1197687,30.39
Czech Republic,2014,male,35-54 years,467,1580637,29.55
Czech Republic,2014,male,25-34 years,157,752372,20.87
Czech Republic,2014,male,15-24 years,84,565782,14.85
Czech Republic,2014,female,75+ years,54,464061,11.64
Czech Republic,2014,female,55-74 years,107,1356408,7.89
Czech Republic,2014,female,35-54 years,94,1509758,6.23
Czech Republic,2014,female,25-34 years,26,711374,3.65
Czech Republic,2014,female,15-24 years,11,540106,2.04
Czech Republic,2014,female,5-14 years,1,500027,0.2
Czech Republic,2014,male,5-14 years,1,527532,0.19
Czech Republic,2015,male,75+ years,145,264401,54.84
Czech Republic,2015,male,55-74 years,373,1202553,31.02
Czech Republic,2015,male,35-54 years,404,1602521,25.21
Czech Republic,2015,male,25-34 years,151,737221,20.48
Czech Republic,2015,male,15-24 years,58,546597,10.61
Czech Republic,2015,female,75+ years,44,471092,9.34
Czech Republic,2015,female,55-74 years,80,1358421,5.89
Czech Republic,2015,female,35-54 years,86,1528289,5.63
Czech Republic,2015,female,15-24 years,19,521060,3.65
Czech Republic,2015,female,25-34 years,20,698584,2.86
Czech Republic,2015,female,5-14 years,5,515457,0.97
Czech Republic,2015,male,5-14 years,2,543129,0.37
Czech Republic,2016,male,75+ years,140,273637,51.16
Czech Republic,2016,male,55-74 years,319,1205832,26.45
Czech Republic,2016,male,35-54 years,386,1617906,23.86
Czech Republic,2016,male,25-34 years,137,729199,18.79
Czech Republic,2016,male,15-24 years,78,527890,14.78
Czech Republic,2016,female,55-74 years,86,1358948,6.33
Czech Republic,2016,female,35-54 years,91,1541109,5.9
Czech Republic,2016,female,75+ years,25,480884,5.2
Czech Republic,2016,female,25-34 years,34,691963,4.91
Czech Republic,2016,female,15-24 years,22,502574,4.38
Denmark,2010,male,75+ years,61,153231,39.81
Denmark,2010,male,55-74 years,142,613233,23.16
Denmark,2010,male,35-54 years,142,791338,17.94
Denmark,2010,male,25-34 years,43,329780,13.04
Denmark,2010,female,75+ years,22,236409,9.31
Denmark,2010,female,55-74 years,56,634607,8.82
Denmark,2010,female,35-54 years,64,776699,8.24
Denmark,2010,male,15-24 years,17,349175,4.87
Denmark,2010,female,15-24 years,10,333696,3.0
Denmark,2010,female,25-34 years,6,327722,1.83
Denmark,2010,female,5-14 years,0,327790,0.0
Denmark,2010,male,5-14 years,0,344105,0.0
Denmark,2011,male,75+ years,48,156856,30.6
Denmark,2011,male,35-54 years,189,791137,23.89
Denmark,2011,male,55-74 years,139,621859,22.35
Denmark,2011,male,25-34 years,35,326633,10.72
Denmark,2011,female,75+ years,22,237867,9.25
Denmark,2011,female,55-74 years,57,643276,8.86
Denmark,2011,male,15-24 years,26,356319,7.3
Denmark,2011,female,35-54 years,50,778373,6.42
Denmark,2011,female,25-34 years,12,323639,3.71
Denmark,2011,female,15-24 years,11,340056,3.23
Denmark,2011,female,5-14 years,0,326359,0.0
Denmark,2011,male,5-14 years,0,341776,0.0
Denmark,2012,male,75+ years,67,161259,41.55
Denmark,2012,male,35-54 years,209,788215,26.52
Denmark,2012,male,55-74 years,153,630159,24.28
Denmark,2012,female,55-74 years,71,651381,10.9
Denmark,2012,male,25-34 years,31,326746,9.49
Denmark,2012,male,15-24 years,33,362466,9.1
Denmark,2012,female,75+ years,19,240759,7.89
Denmark,2012,female,35-54 years,58,776419,7.47
Denmark,2012,female,25-34 years,11,322504,3.41
Denmark,2012,female,15-24 years,8,346154,2.31
Denmark,2012,male,5-14 years,1,340022,0.29
Denmark,2012,female,5-14 years,0,324455,0.0
Denmark,2013,male,75+ years,62,166011,37.35
Denmark,2013,male,55-74 years,157,637775,24.62
Denmark,2013,male,35-54 years,174,785198,22.16
Denmark,2013,female,75+ years,25,243880,10.25
Denmark,2013,male,25-34 years,33,328192,10.06
Denmark,2013,female,55-74 years,52,658936,7.89
Denmark,2013,female,35-54 years,54,775088,6.97
Denmark,2013,male,15-24 years,23,367000,6.27
Denmark,2013,female,25-34 years,16,322819,4.96
Denmark,2013,female,15-24 years,12,350607,3.42
Denmark,2013,female,5-14 years,1,324362,0.31
Denmark,2013,male,5-14 years,1,339830,0.29
Denmark,2014,male,75+ years,61,172150,35.43
Denmark,2014,male,55-74 years,155,645001,24.03
Denmark,2014,male,35-54 years,178,784300,22.7
Denmark,2014,female,75+ years,36,248889,14.46
Denmark,2014,male,25-34 years,43,333712,12.89
Denmark,2014,male,15-24 years,31,370570,8.37
Denmark,2014,female,35-54 years,59,774379,7.62
Denmark,2014,female,55-74 years,50,666386,7.5
Denmark,2014,female,25-34 years,7,325866,2.15
Denmark,2014,female,15-24 years,7,354099,1.98
Denmark,2014,female,5-14 years,1,323749,0.31
Denmark,2014,male,5-14 years,1,340065,0.29
Denmark,2015,male,75+ years,57,178633,31.91
Denmark,2015,male,35-54 years,159,783366,20.3
Denmark,2015,male,55-74 years,126,651856,19.33
Denmark,2015,female,75+ years,32,253300,12.63
Denmark,2015,female,55-74 years,67,673655,9.95
Denmark,2015,male,25-34 years,30,342769,8.75
Denmark,2015,female,35-54 years,51,772844,6.6
Denmark,2015,male,15-24 years,18,374051,4.81
Denmark,2015,female,25-34 years,15,331400,4.53
Denmark,2015,female,15-24 years,6,356882,1.68
Denmark,2015,female,5-14 years,3,323821,0.93
Denmark,2015,male,5-14 years,0,340483,0.0
Ecuador,2010,male,15-24 years,214,1436267,14.9
Ecuador,2010,male,25-34 years,171,1181648,14.47
Ecuador,2010,male,35-54 years,165,1639225,10.07
Ecuador,2010,male,55-74 years,68,713198,9.53
