country,year,sex,age,suicides_no,population,suicides/100k pop
Argentina,2013,male,55-74 years,398,2894129,13.75
Argentina,2013,male,35-54 years,604,4950850,12.2
Argentina,2013,female,15-24 years,167,3384642,4.93
Argentina,2013,female,25-34 years,102,3226464,3.16
Argentina,2013,female,35-54 years,157,5099167,3.08
Argentina,2013,female,55-74 years,102,3390673,3.01
Argentina,2013,female,75+ years,29,1303352,2.23
Argentina,2013,female,5-14 years,32,3515742,0.91
Argentina,2013,male,5-14 years,33,3637026,0.91
Argentina,2014,male,75+ years,192,706897,27.16
Argentina,2014,male,15-24 years,738,3492454,21.13
Argentina,2014,male,25-34 years,531,3276955,16.2
Argentina,2014,male,55-74 years,405,2951616,13.72
Argentina,2014,male,35-54 years,644,5060862,12.73
Argentina,2014,female,15-24 years,204,3388324,6.02
Argentina,2014,female,35-54 years,196,5203634,3.77
Argentina,2014,female,25-34 years,118,3227239,3.66
Argentina,2014,female,55-74 years,109,3454994,3.15
Argentina,2014,female,75+ years,25,1323654,1.89
Argentina,2014,female,5-14 years,35,3533961,0.99
Argentina,2014,male,5-14 years,34,3655965,0.93
Argentina,2015,male,75+ years,245,712691,34.38
Argentina,2015,male,15-24 years,656,3500580,18.74
Argentina,2015,male,55-74 years,431,3011963,14.31
Argentina,2015,male,25-34 years,465,3289927,14.13
Argentina,2015,male,35-54 years,633,5166179,12.25
Argentina,2015,female,15-24 years,153,3394201,4.51
Argentina,2015,female,55-74 years,125,3520779,3.55
Argentina,2015,female,25-34 years,114,3235582,3.52
Argentina,2015,female,35-54 years,166,5301368,3.13
Argentina,2015,female,75+ years,27,1344980,2.01
Argentina,2015,male,5-14 years,39,3672155,1.06
Argentina,2015,female,5-14 years,19,3549219,0.54
Armenia,2010,male,75+ years,6,52333,11.47
Armenia,2010,male,55-74 years,13,193100,6.73
Armenia,2010,male,25-34 years,10,202936,4.93
Armenia,2010,male,35-54 years,15,346739,4.33
Armenia,2010,male,15-24 years,8,252152,3.17
Armenia,2010,female,55-74 years,7,253182,2.76
Armenia,2010,female,75+ years,2,81770,2.45
Armenia,2010,female,5-14 years,2,167142,1.2
Armenia,2010,female,35-54 years,5,427571,1.17
Armenia,2010,male,5-14 years,2,191722,1.04
Armenia,2010,female,15-24 years,2,270727,0.74
Armenia,2010,female,25-34 years,1,236851,0.42
Armenia,2011,female,75+ years,6,86643,6.92
Armenia,2011,male,35-54 years,23,341199,6.74
Armenia,2011,male,55-74 years,11,194982,5.64
Armenia,2011,male,25-34 years,8,209914,3.81
Armenia,2011,male,75+ years,2,55565,3.6
Armenia,2011,male,15-24 years,7,245227,2.85
Armenia,2011,female,15-24 years,4,259823,1.54
Armenia,2011,female,55-74 years,3,256541,1.17
Armenia,2011,female,35-54 years,3,422179,0.71
Armenia,2011,female,25-34 years,0,244912,0.0
Armenia,2011,female,5-14 years,0,164004,0.0
Armenia,2011,male,5-14 years,0,189377,0.0
Armenia,2012,male,75+ years,5,56598,8.83
Armenia,2012,male,35-54 years,26,376743,6.9
Armenia,2012,male,55-74 years,11,212482,5.18
Armenia,2012,male,25-34 years,11,245443,4.48
Armenia,2012,female,75+ years,3,91237,3.29
Armenia,2012,male,15-24 years,5,255119,1.96
Armenia,2012,female,35-54 years,7,428953,1.63
Armenia,2012,female,25-34 years,4,259768,1.54
Armenia,2012,female,55-74 years,4,273394,1.46
Armenia,2012,female,15-24 years,2,255088,0.78
Armenia,2012,male,5-14 years,1,192409,0.52
Armenia,2012,female,5-14 years,0,167066,0.0
Armenia,2013,male,75+ years,7,58640,11.94
Armenia,2013,female,75+ years,6,95093,6.31
Armenia,2013,male,55-74 years,11,218063,5.04
Armenia,2013,female,55-74 years,11,280566,3.92
Armenia,2013,male,25-34 years,9,250487,3.59
Armenia,2013,male,35-54 years,13,370440,3.51
Armenia,2013,female,35-54 years,6,423841,1.42
Armenia,2013,male,15-24 years,2,243687,0.82
Armenia,2013,male,5-14 years,1,193754,0.52
Armenia,2013,female,15-24 years,1,242386,0.41
Armenia,2013,female,25-34 years,0,265616,0.0
Armenia,2013,female,5-14 years,0,168091,0.0
Armenia,2014,male,75+ years,9,60108,14.97
Armenia,2014,female,75+ years,6,98118,6.12
Armenia,2014,male,55-74 years,12,224430,5.35
Armenia,2014,male,35-54 years,13,363362,3.58
Armenia,2014,male,25-34 years,6,253461,2.37
Armenia,2014,female,55-74 years,4,288822,1.38
Armenia,2014,male,15-24 years,3,230760,1.3
Armenia,2014,female,15-24 years,2,227895,0.88
Armenia,2014,female,5-14 years,1,171332,0.58
Armenia,2014,female,35-54 years,2,417829,0.48
Armenia,2014,female,25-34 years,0,269937,0.0
Armenia,2014,male,5-14 years,0,196975,0.0
Armenia,2015,male,75+ years,12,61355,19.56
Armenia,2015,male,55-74 years,16,231213,6.92
Armenia,2015,female,75+ years,5,100754,4.96
Armenia,2015,male,35-54 years,15,356715,4.21
Armenia,2015,male,25-34 years,10,255540,3.91
Armenia,2015,female,55-74 years,5,297936,1.68
Armenia,2015,female,15-24 years,3,212010,1.42
Armenia,2015,female,35-54 years,4,412360,0.97
Armenia,2015,male,15-24 years,2,216876,0.92
Armenia,2015,female,25-34 years,2,274108,0.73
Armenia,2015,female,5-14 years,0,175417,0.0
Armenia,2015,male,5-14 years,0,201051,0.0
Armenia,2016,male,75+ years,12,61956,19.37
Armenia,2016,male,55-74 years,16,237813,6.73
Armenia,2016,male,35-54 years,16,350633,4.56
Armenia,2016,male,15-24 years,5,202220,2.47
Armenia,2016,female,75+ years,2,102414,1.95
Armenia,2016,female,55-74 years,6,308349,1.95
Armenia,2016,male,25-34 years,4,255665,1.56
